date,close,ema200,fg_value,slope_pct,regime
2024-06-02,95000000.0,78434485.0,73.0,4.6559,BULL
2024-06-03,95994000.0,78609207.0,73.0,4.7284,BULL
2024-06-04,97500000.0,78797175.0,73.0,4.742,BULL
2024-06-05,98385000.0,78992079.0,75.0,4.7853,BULL
2024-06-06,98334000.0,79184535.0,78.0,4.8018,BULL
2024-06-07,97919000.0,79370948.0,77.0,4.8069,BULL
2024-06-08,98125000.0,79557556.0,72.0,4.8267,BULL
2024-06-09,97983000.0,79740893.0,75.0,4.7748,BULL
2024-06-10,97276000.0,79915372.0,72.0,4.7221,BULL
2024-06-11,95329000.0,80068741.0,74.0,4.6623,BULL
2024-06-12,95934000.0,80226605.0,72.0,4.6183,BULL
2024-06-13,94614000.0,80369763.0,70.0,4.5536,BULL
2024-06-14,93978000.0,80505168.0,74.0,4.4678,BULL
2024-06-15,93910000.0,80638550.0,74.0,4.3909,BULL
2024-06-16,94219000.0,80773678.0,71.0,4.3131,BULL
2024-06-17,93588000.0,80901184.0,71.0,4.2479,BULL
2024-06-18,91649000.0,81008128.0,74.0,4.1679,BULL
2024-06-19,91555000.0,81113072.0,64.0,4.0741,BULL
2024-06-20,91780000.0,81219210.0,60.0,3.9903,BULL
2024-06-21,90308000.0,81309646.0,63.0,3.8862,BULL
2024-06-22,90874000.0,81404814.0,53.0,3.787,BULL
2024-06-23,89046000.0,81480845.0,55.0,3.6531,BULL
2024-06-24,85496000.0,81520797.0,51.0,3.4565,SIDEWAYS
2024-06-25,87450000.0,81579794.0,30.0,3.2759,BULL
2024-06-26,86027000.0,81624045.0,46.0,3.0808,BULL
2024-06-27,86884000.0,81676383.0,40.0,2.9046,BULL
2024-06-28,85158000.0,81711026.0,47.0,2.7068,SIDEWAYS
2024-06-29,85765000.0,81751364.0,30.0,2.5213,SIDEWAYS
2024-06-30,87920000.0,81812743.0,47.0,2.3742,BULL
2024-07-01,88253000.0,81876825.0,53.0,2.2582,BULL
2024-07-02,87248000.0,81930270.0,51.0,2.1236,BULL
2024-07-03,85331000.0,81964108.0,50.0,1.9838,SIDEWAYS
2024-07-04,81680000.0,81961281.0,44.0,1.8087,SIDEWAYS
2024-07-05,81118000.0,81952890.0,29.0,1.6299,SIDEWAYS
